title,mediaLink,siteLink,collaborators,schools,projectBrief,researchPaper,publicationLink
Colliding Conversations 4,https://www.youtube.com/watch?v=97MZY8LiBrI,https://www.victoria.ac.nz/about/strengths/digital-futures/research-projects,Byron Mallett Kieran Carnegie Matt Plummer Nathan Stewart,ecs design its its film,Computing meets Design: Kieran Carnegie and Byron Mallet discuss how VR is being used today.,,
Colliding Conversations 5,https://www.youtube.com/watch?v=q-kzYX8PaTw,https://www.victoria.ac.nz/about/strengths/digital-futures/research-projects,Ocean Mercier Marc Aurel Schnabel Matt Plummer Nathan ,te kawa a maui architecture its its,Architecture meets Te Kawa a M?ui: Prof. Marc Aurel Schnabel and Dr Ocean Mercer discuss how virtual reality and augmented reality affect the world.,,
Colliding Conversations 1,https://www.youtube.com/watch?v=DYe38u-fYLQ,https://www.victoria.ac.nz/about/strengths/digital-futures/research-projects,Neil Dodgson Miriam Ross Matt Plummer Nathan Stewart ,ecs film its its ,"Film meets Engineering: Dr Miriam Ross and Prof. Neil Dodgson discuss the past, present, and future of virtual reality, augmented reality and mixed reality.",,
Colliding Conversations 3,https://www.youtube.com/watch?v=pT4n3J23kd0,https://www.victoria.ac.nz/about/strengths/digital-futures/research-projects,Andre Geldenhuis Christopher Maymon Matt Plummer Nathan Stewart ,its psychology its its ,Technology meets Psychology: Andre Geldenhuis and Christopher Maymon discuss how people react to VR.,,
Colliding Conversations 2,https://www.youtube.com/watch?v=eTMUboxXzAs,https://www.victoria.ac.nz/about/strengths/digital-futures/research-projects,Geoffrey Batchen Raqi Syed Matt Plummer Nathan Stewart , art history design its its ,Design meets Art History: Dr Raqi Syed and Prof. Geoffrey Batchen discuss the pre-history and recent history of VR innovation.,,
Circle v Square,https://www.youtube.com/watch?v=DI2-piw2PaA,http://circlevsquare.xyz/,Raqi Syed Miriam Ross,design film its its film,An experimental live action cinematic virtual reality production,,
HDI4D,http://computergraphics.ac.nz/hdi4d/images/HDI4D_logo.png,http://computergraphics.ac.nz/hdi4d/,Taehyn Rhee Miriam Ross Kevin Romond Kieran Carnegie,ecs film design,Human-Digital Content Interaction for Immersive 4D Home Entertainment,,
LitAtlas,https://www.youtube.com/watch?v=PQcH4YF2eME,https://biq0yqqjoejz8e9tp4wo.vuw-test.sandcats.io/,Sydney Shep Matt Plummer Jonathon Bishop Jeff Jones Seb Paz Walter Langelaar,wai te ata press its design,This short video captures the development of the Literary Atlas mobile app. The app combines geolocation and augmented reality tools to create a digitally interactive component to the Writers' Walk.,,
VR in Humanities,https://vimeo.com/205496513,http://forvrresearch.wixsite.com/vrhumanities,Miriam Ross Joseph Hedren,film film,"VR in Humanities aims to provide a survey of the state of humanities focused VR literature as of 2017, identifying several emergent themes in this burgeoning field, as well as providing a selection of exemplary virtual reality experiences at the present time.",,
Virtual World Lab,https://www.victoria.ac.nz/__data/assets/image/0006/422538/rsz_design-research-virtual-world-lab.jpg,https://www.victoria.ac.nz/design/research/virtual-world-lab,Leon Gurevitch Byron Mallett Raqi Syed,design design design,"New developments with Virtual Reality technology highlight a vast territory for immersive storytelling, gaming, and many other forms of interactive experiences such as simulated education, medical therapy, and scientific visualization. At the lab, Design staff and students research new methods for storytelling, interaction, and immersive experience, presented via emerging technologies.",,
Yasawa Island Virtual Tourism,https://farm5.staticflickr.com/4552/27124934549_7b3c91b893_k.jpg,https://www.researchgate.net/profile/Christian_Schott2/publication/275275670_Bringing_the_world_to_the_classroom_-_towards_%27virtual_reality%27_pedagogies_for_international_education/links/5580a0c908ae47061e5f33bb/Bringing-the-world-to-the-classroom-towards-virtual-reality-pedagogies-for-international-education.pdf,Christian Schott Jonathan Flutey Andre Geldenhuis,vbs its its,"Prototype VR-based virtual fieldtrip to the Fijian Island of Yasawa, which demonstrates an innovative and carbon-sensitive type of (educational) travel.",,
